127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/img-temp/interesting/picjumbo.com_IMG_6358.jpg HTTP/1.1" 404 559 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/img-temp/interesting/picjumbo.com_HNCK8182.jpg HTTP/1.1" 404 559 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/img-temp/interesting/picjumbo.com_vranov-czech-republic.jpg HTTP/1.1" 404 572 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/plugins/jquery/jquery.min.js HTTP/1.1" 404 541 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 550 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/plugins/jquery/jquery-migrate.min.js HTTP/1.1" 404 549 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/plugins/smoothScroll.js HTTP/1.1" 404 536 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/plugins/jquery.easing.min.js HTTP/1.1" 404 541 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/plugins/owl-carousel2/owl.carousel.min.js HTTP/1.1" 404 554 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/plugins/sky-forms-pro/skyforms/js/jquery.form.min.js HTTP/1.1" 404 565 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/plugins/sky-forms-pro/skyforms/js/jquery.maskedinput.min.js HTTP/1.1" 404 572 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/plugins/sky-forms-pro/skyforms/js/jquery-ui.min.js HTTP/1.1" 404 563 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/plugins/sky-forms-pro/skyforms/js/jquery.validate.min.js HTTP/1.1" 404 569 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
